country_iso3,qstart,gdp_growth_yoy,cpi_yoy,fx_usd,policy_uncertainty
IND,1970-01-01,,,,93.41650525722076
,1997-01-01,,,,93.08123833421033
,1997-04-01,,,,93.08123833421033
,1997-07-01,,,,93.08123833421033
,1997-10-01,,,,93.08123833421033
,1998-01-01,,,,89.19758324142516
,1998-04-01,,,,89.19758324142516
,1998-07-01,,,,89.19758324142516
,1998-10-01,,,,89.19758324142516
,1999-01-01,,,,57.90862752446549
,1999-04-01,,,,57.90862752446549
,1999-07-01,,,,57.90862752446549
,1999-10-01,,,,57.90862752446549
,2000-01-01,,,,94.65714033124286
,2000-04-01,,,,94.65714033124286
,2000-07-01,,,,94.65714033124286
,2000-10-01,,,,94.65714033124286
,2001-01-01,,,,100.58075544471164
,2001-04-01,,,,100.58075544471164
,2001-07-01,,,,100.58075544471164
,2001-10-01,,,,100.58075544471164
,2002-01-01,,,,115.91781868218156
,2002-04-01,,,,115.91781868218156
,2002-07-01,,,,115.91781868218156
,2002-10-01,,,,115.91781868218156
