reporter_iso3,partner_iso3,hs_code,product,period,trade_flow,value_usd,quantity,unit,source_file
PHL,JPN,803,Bananas,2023,export,759028032.0,,,PH_export_dest_2023
PHL,CHN,803,Bananas,2023,export,422551192.0,,,PH_export_dest_2023
PHL,KOR,803,Bananas,2023,export,164537324.0,,,PH_export_dest_2023
PHL,SAU,803,Bananas,2023,export,40099338.0,,,PH_export_dest_2023
PHL,IRN,803,Bananas,2023,export,28557623.0,,,PH_export_dest_2023
PHL,HKG,803,Bananas,2023,export,24146882.0,,,PH_export_dest_2023
PHL,SGP,803,Bananas,2023,export,17542009.0,,,PH_export_dest_2023
PHL,ARE,803,Bananas,2023,export,13899597.0,,,PH_export_dest_2023
PHL,QAT,803,Bananas,2023,export,13127020.0,,,PH_export_dest_2023
PHL,NZL,803,Bananas,2023,export,11268005.0,,,PH_export_dest_2023
PHL,BHR,803,Bananas,2023,export,10493693.0,,,PH_export_dest_2023
PHL,KWT,803,Bananas,2023,export,6324590.0,,,PH_export_dest_2023
PHL,MYS,803,Bananas,2023,export,3801796.0,,,PH_export_dest_2023
PHL,USA,803,Bananas,2023,export,1284688.0,,,PH_export_dest_2023
PHL,MNG,803,Bananas,2023,export,1264810.0,,,PH_export_dest_2023
PHL,MAC,803,Bananas,2023,export,1013938.0,,,PH_export_dest_2023
PHL,IRQ,803,Bananas,2023,export,709479.0,,,PH_export_dest_2023
PHL,OMN,803,Bananas,2023,export,377381.0,,,PH_export_dest_2023
PHL,GBR,803,Bananas,2023,export,328922.0,,,PH_export_dest_2023
PHL,MNP,803,Bananas,2023,export,220790.0,,,PH_export_dest_2023
PHL,DEU,803,Bananas,2023,export,177552.0,,,PH_export_dest_2023
PHL,AUT,803,Bananas,2023,export,134826.0,,,PH_export_dest_2023
PHL,BRA,803,Bananas,2023,export,98503.0,,,PH_export_dest_2023
PHL,CAN,803,Bananas,2023,export,89943.0,,,PH_export_dest_2023
PHL,NLD,803,Bananas,2023,export,87049.0,,,PH_export_dest_2023
PHL,ESP,803,Bananas,2023,export,62110.0,,,PH_export_dest_2023
PHL,BRN,803,Bananas,2023,export,54060.0,,,PH_export_dest_2023
PHL,JOR,803,Bananas,2023,export,45996.0,,,PH_export_dest_2023
PHL,SVN,803,Bananas,2023,export,44540.0,,,PH_export_dest_2023
PHL,CZE,803,Bananas,2023,export,43131.0,,,PH_export_dest_2023
PHL,POL,803,Bananas,2023,export,40430.0,,,PH_export_dest_2023
PHL,GUM,803,Bananas,2023,export,39360.0,,,PH_export_dest_2023
PHL,CRI,803,Bananas,2023,export,27813.0,,,PH_export_dest_2023
PHL,SWE,803,Bananas,2023,export,24093.0,,,PH_export_dest_2023
PHL,IRL,803,Bananas,2023,export,21950.0,,,PH_export_dest_2023
