ms_code,year,issue,n_votes,agree_usa_strict,agree_chn_strict
IDN,1980,human_rights,4,0.25,1.0
IDN,1980,israel_palestine,7,0.14285714285714285,1.0
IDN,1980,nuclear_weapons,3,0.0,1.0
IDN,1980,uncategorized,20,0.35,0.9473684210526315
IDN,1981,colonization,2,0.0,1.0
IDN,1981,disarmament,1,1.0,1.0
IDN,1981,economic_development,1,0.0,1.0
IDN,1981,human_rights,5,0.6,1.0
IDN,1981,israel_palestine,9,0.1111111111111111,1.0
IDN,1981,nuclear_weapons,4,0.0,1.0
IDN,1981,uncategorized,24,0.4583333333333333,1.0
IDN,1982,colonization,3,0.3333333333333333,1.0
IDN,1982,disarmament,2,0.5,1.0
IDN,1982,economic_development,3,0.0,1.0
IDN,1982,human_rights,12,0.25,1.0
IDN,1982,israel_palestine,16,0.0625,1.0
IDN,1982,nuclear_weapons,10,0.1,0.8571428571428571
IDN,1982,uncategorized,29,0.41379310344827586,1.0
IDN,1983,colonization,2,0.5,1.0
IDN,1983,disarmament,2,0.5,1.0
IDN,1983,economic_development,1,1.0,1.0
IDN,1983,human_rights,8,0.25,1.0
IDN,1983,israel_palestine,11,0.09090909090909091,1.0
IDN,1983,nuclear_weapons,8,0.0,1.0
IDN,1983,uncategorized,15,0.4,1.0
IDN,1984,colonization,4,0.25,1.0
IDN,1984,disarmament,0,,1.0
IDN,1984,economic_development,2,0.0,1.0
IDN,1984,human_rights,11,0.36363636363636365,1.0
IDN,1984,israel_palestine,11,0.18181818181818182,1.0
IDN,1984,nuclear_weapons,7,0.0,1.0
IDN,1984,uncategorized,15,0.4,1.0
IDN,1985,colonization,2,0.0,1.0
IDN,1985,disarmament,2,0.5,1.0
IDN,1985,economic_development,2,0.0,1.0
IDN,1985,human_rights,8,0.125,1.0
IDN,1985,israel_palestine,7,0.2857142857142857,1.0
IDN,1985,nuclear_weapons,8,0.0,1.0
IDN,1985,uncategorized,23,0.2608695652173913,1.0
IDN,1986,colonization,6,0.0,1.0
IDN,1986,disarmament,5,0.4,1.0
