resolution_code,res_key,vote_id,vote_date
A/RES/33/103,R/33/103,1920,1978-12-05
A/RES/33/106,R/33/106,1921,1978-12-05
A/RES/33/110,R/33/110,1902,1978-12-07
A/RES/33/114,R/33/114,1898,1978-12-07
A/RES/33/118,R/33/118,1952,1978-12-01
A/RES/33/119,R/33/119,1953,1978-12-01
A/RES/33/120,R/33/120,1954,1978-12-01
A/RES/33/136,R/33/136,1903,1978-12-01
A/RES/33/137,R/33/137,1904,1978-12-01
A/RES/33/138,R/33/138,1899,1978-12-01
A/RES/33/14,R/33/14,1942,1978-11-02
A/RES/33/143,R/33/143,1956,1978-12-02
A/RES/33/147,R/33/147,1905,1978-12-01
A/RES/33/15,R/33/15,1839,1978-11-01
A/RES/33/150,R/33/150,1906,1978-12-02
A/RES/33/151,R/33/151,1907,1978-12-02
A/RES/33/155,R/33/155,1908,1978-12-02
A/RES/33/159,R/33/159,1909,1978-12-02
A/RES/33/163,R/33/163,1922,1978-12-02
A/RES/33/17,R/33/17,1840,1978-11-02
A/RES/33/172,R/33/172,1923,1978-12-02
A/RES/33/174,R/33/174,1924,1978-12-02
A/RES/33/175,R/33/175,1925,1978-12-02
A/RES/33/176,R/33/176,1926,1978-12-02
A/RES/33/181,R/33/181,1959,1978-12-03
A/RES/33/184,R/33/184,1927,1979-01-03
A/RES/33/196,R/33/196,1910,1979-01-03
A/RES/33/199,R/33/199,1911,1979-01-03
A/RES/33/204,R/33/204,1960,1979-01-03
A/RES/33/23,R/33/23,1912,1978-11-07
A/RES/33/24,R/33/24,1913,1978-11-07
A/RES/33/29,R/33/29,1844,1978-12-03
A/RES/33/36,R/33/36,1930,1978-12-02
A/RES/33/37,R/33/37,1931,1978-12-02
A/RES/33/39,R/33/39,1934,1978-12-02
A/RES/33/40,R/33/40,1935,1978-12-02
A/RES/33/41,R/33/41,1936,1978-12-02
A/RES/33/44,R/33/44,1845,1978-12-02
A/RES/33/45,R/33/45,1846,1978-12-02
A/RES/33/48,R/33/48,1914,1978-12-03
A/RES/33/50,R/33/50,1915,1978-12-03
A/RES/33/53,R/33/53,1916,1978-12-03
A/RES/33/57,R/33/57,1863,1978-12-03
A/RES/33/60,R/33/60,1864,1978-12-03
A/RES/33/63,R/33/63,1865,1978-12-03
A/RES/33/64,R/33/64,1866,1978-12-03
A/RES/33/65,R/33/65,1867,1978-12-03
A/RES/33/67,R/33/67,1870,1978-12-03
A/RES/33/68,R/33/68,1871,1978-12-03
A/RES/33/73,R/33/73,1879,1978-12-04
A/RES/33/74,R/33/74,1880,1978-12-04
A/RES/33/75,R/33/75,1881,1978-12-04
A/RES/33/76,R/33/76,1882,1978-12-04
A/RES/33/85,R/33/85,1900,1978-12-04
A/RES/33/89,R/33/89,1901,1978-12-04
A/RES/33/96,R/33/96,1969,1978-12-05
A/RES/33/97,R/33/97,1970,1978-12-05
A/RES/33/98,R/33/98,1917,1978-12-05
A/RES/33/99,R/33/99,1918,1978-12-05
A/RES/34/100,R/34/100,2018,1979-12-05
A/RES/34/101,R/34/101,2019,1979-12-05
A/RES/34/103,R/34/103,2020,1979-12-05
A/RES/34/113,R/34/113,2031,1979-12-05
A/RES/34/13,R/34/13,2088,1979-11-03
A/RES/34/133,R/34/133,2032,1979-12-05
A/RES/34/136,R/34/136,2033,1979-12-05
A/RES/34/145,R/34/145,2089,1979-12-01
A/RES/34/147,R/34/147,2090,1979-12-01
A/RES/34/150,R/34/150,2091,1979-12-01
A/RES/34/158,R/34/158,2047,1979-12-01
A/RES/34/160,R/34/160,2048,1979-12-01
A/RES/34/166,R/34/166,2069,1979-12-01
A/RES/34/172,R/34/172,2049,1979-12-01
A/RES/34/176,R/34/176,2050,1979-12-01
A/RES/34/179,R/34/179,2051,1979-12-01
A/RES/34/180,R/34/180,2052,1979-12-02
A/RES/34/184,R/34/184,2034,1979-12-02
A/RES/34/192,R/34/192,1999,1979-12-02
A/RES/34/197,R/34/197,2035,1979-12-03
A/RES/34/198,R/34/198,2036,1979-12-03
A/RES/34/199,R/34/199,2037,1979-12-03
A/RES/34/209,R/34/209,2038,1979-12-03
A/RES/34/211,R/34/211,2039,1979-12-03
A/RES/34/216,R/34/216,2040,1979-12-03
A/RES/34/22,R/34/22,1972,1979-11-01
A/RES/34/220,R/34/220,2071,1979-12-04
A/RES/34/221,R/34/221,2072,1979-12-04
A/RES/34/222A,R/34/222A,2073,1979-12-04
A/RES/34/222C,R/34/222C,2074,1979-12-04
A/RES/34/223A,R/34/223A,2075,1979-12-04
A/RES/34/223B,R/34/223B,2076,1979-12-04
A/RES/34/227,R/34/227,2077,1979-12-04
A/RES/34/229,R/34/229,2078,1979-12-04
A/RES/34/230A,R/34/230A,2079,1979-12-04
A/RES/34/230C,R/34/230C,2080,1979-12-04
A/RES/34/231,R/34/231,2081,1979-12-04
A/RES/34/232,R/34/232,2082,1979-12-04
A/RES/34/24,R/34/24,2041,1979-11-02
A/RES/34/27,R/34/27,2042,1979-11-02
A/RES/34/29,R/34/29,2021,1979-11-03
A/RES/34/2A,R/34/2A,1971,1979-09-05
A/RES/34/30,R/34/30,1973,1979-11-07
A/RES/34/33,R/34/33,2053,1979-11-01
A/RES/34/37,R/34/37,2054,1979-11-01
A/RES/34/38,R/34/38,2055,1979-11-01
A/RES/34/40,R/34/40,2056,1979-11-01
A/RES/34/41,R/34/41,2057,1979-11-01
A/RES/34/42,R/34/42,2058,1979-11-01
A/RES/34/44,R/34/44,2043,1979-11-03
A/RES/34/46,R/34/46,2044,1979-11-03
A/RES/34/47,R/34/47,2045,1979-11-03
A/RES/34/48,R/34/48,2046,1979-11-03
A/RES/34/52A,R/34/52A,2022,1979-11-03
A/RES/34/52C,R/34/52C,2023,1979-11-03
A/RES/34/52E,R/34/52E,2024,1979-11-03
A/RES/34/52F,R/34/52F,2025,1979-11-03
A/RES/34/55,R/34/55,2030,1979-11-02
A/RES/34/65A,R/34/65A,1974,1979-11-02
A/RES/34/65B,R/34/65B,1975,1979-11-02
A/RES/34/65C,R/34/65C,1976,1979-12-03
A/RES/34/65D,R/34/65D,1977,1979-12-03
A/RES/34/69,R/34/69,1978,1979-12-04
A/RES/34/6A,R/34/6A,2059,1979-10-06
A/RES/34/70,R/34/70,1979,1979-12-04
A/RES/34/73,R/34/73,2000,1979-12-02
A/RES/34/76A,R/34/76A,2001,1979-12-02
A/RES/34/77,R/34/77,2002,1979-12-02
A/RES/34/78,R/34/78,2003,1979-12-02
A/RES/34/7A,R/34/7A,2060,1979-10-06
A/RES/34/7B,R/34/7B,2061,1979-12-01
A/RES/34/7C,R/34/7C,2062,1979-12-01
A/RES/34/7D,R/34/7D,2063,1979-12-01
A/RES/34/80A,R/34/80A,2004,1979-12-02
A/RES/34/80B,R/34/80B,2005,1979-12-02
A/RES/34/83B,R/34/83B,2006,1979-12-02
A/RES/34/83E,R/34/83E,2007,1979-12-02
A/RES/34/83G,R/34/83G,2008,1979-12-02
A/RES/34/83J,R/34/83J,2009,1979-12-02
A/RES/34/84,R/34/84,2010,1979-12-02
A/RES/34/85,R/34/85,2011,1979-12-02
A/RES/34/86,R/34/86,2012,1979-12-02
A/RES/34/87C,R/34/87C,2013,1979-12-02
A/RES/34/87D,R/34/87D,2014,1979-12-02
A/RES/34/87E,R/34/87E,2015,1979-12-02
A/RES/34/88,R/34/88,2016,1979-12-02
A/RES/34/89,R/34/89,2017,1979-12-02
A/RES/34/90A,R/34/90A,2026,1979-12-03
A/RES/34/90B,R/34/90B,2027,1979-12-03
A/RES/34/90C,R/34/90C,2028,1979-12-03
A/RES/34/91,R/34/91,2029,1979-12-03
A/RES/34/92A,R/34/92A,1980,1979-12-03
