ms_code,year,votes_strict,agree_usa_strict,agree_chn_strict,votes_loose,agree_usa_loose,agree_chn_loose
IDN,1950,12,0.9166666666666666,1.0,17,0.6470588235294118,0.6470588235294118
IDN,1951,2,1.0,1.0,5,0.4,0.4
IDN,1952,21,0.6190476190476191,0.8666666666666667,28,0.4642857142857143,0.4642857142857143
IDN,1953,6,0.8333333333333334,0.8333333333333334,11,0.5454545454545454,0.5454545454545454
IDN,1954,5,0.8,1.0,12,0.3333333333333333,0.45454545454545453
IDN,1955,3,0.3333333333333333,0.5,6,0.16666666666666666,0.3333333333333333
IDN,1956,18,0.9444444444444444,0.9375,24,0.7083333333333334,0.625
IDN,1957,17,0.8235294117647058,0.8,27,0.5555555555555556,0.4444444444444444
IDN,1958,8,0.875,0.8571428571428571,14,0.5,0.42857142857142855
IDN,1959,10,0.8,0.8571428571428571,18,0.4444444444444444,0.3333333333333333
IDN,1960,7,0.5714285714285714,0.6666666666666666,17,0.23529411764705882,0.35294117647058826
IDN,1961,22,0.8181818181818182,0.7222222222222222,39,0.46153846153846156,0.38461538461538464
IDN,1962,11,0.6363636363636364,1.0,17,0.4117647058823529,0.7647058823529411
IDN,1963,14,0.7857142857142857,0.95,23,0.4782608695652174,0.8260869565217391
IDN,1966,14,0.7142857142857143,0.9375,25,0.4,0.6
IDN,1967,11,0.5454545454545454,0.9523809523809523,27,0.25925925925925924,0.7407407407407407
IDN,1968,16,0.5,0.9,26,0.3076923076923077,0.72
IDN,1969,18,0.5,1.0,32,0.3125,0.6875
IDN,1970,25,0.48,0.9666666666666667,38,0.3157894736842105,0.7631578947368421
IDN,1971,54,0.7407407407407407,0.8846153846153846,78,0.5256410256410257,0.8518518518518519
IDN,1972,48,0.7291666666666666,0.9285714285714286,81,0.43209876543209874,0.9016393442622951
IDN,1973,39,0.6153846153846154,0.9074074074074074,74,0.33783783783783783,0.8620689655172413
IDN,1974,29,0.4827586206896552,0.9024390243902439,56,0.2857142857142857,0.8043478260869565
IDN,1975,37,0.4864864864864865,0.8292682926829268,69,0.2608695652173913,0.7608695652173914
IDN,1976,48,0.4583333333333333,0.8870967741935484,87,0.27586206896551724,0.7971014492753623
IDN,1977,53,0.660377358490566,0.90625,93,0.3870967741935484,0.8656716417910447
