country_iso3,date,gprh_raw
CHN,1917-11-01,19
CHN,1917-12-01,20
CHN,1918-01-01,16
CHN,1918-02-01,18
CHN,1918-03-01,37
CHN,1918-04-01,14
CHN,1918-05-01,22
CHN,1918-06-01,22
CHN,1918-07-01,29
CHN,1918-08-01,24
CHN,1918-09-01,20
CHN,1918-10-01,6
CHN,1918-11-01,12
CHN,1918-12-01,11
CHN,1919-01-01,31
CHN,1919-02-01,23
CHN,1919-03-01,35
CHN,1919-04-01,29
CHN,1919-05-01,24
CHN,1919-06-01,10
CHN,1919-07-01,42
CHN,1919-08-01,46
CHN,1919-09-01,31
CHN,1919-10-01,17
CHN,1919-11-01,14
CHN,1919-12-01,10
CHN,1920-01-01,10
CHN,1920-02-01,14
CHN,1920-03-01,9
CHN,1920-04-01,5
CHN,1920-05-01,7
CHN,1920-06-01,4
CHN,1920-07-01,21
CHN,1920-08-01,10
CHN,1920-09-01,8
CHN,1920-10-01,11
CHN,1920-11-01,7
CHN,1920-12-01,9
CHN,1921-01-01,6
CHN,1921-02-01,3
CHN,1921-03-01,13
CHN,1921-04-01,9
CHN,1921-05-01,5
CHN,1921-06-01,14
CHN,1921-07-01,14
CHN,1921-08-01,18
CHN,1921-09-01,11
CHN,1921-10-01,26
CHN,1921-11-01,44
CHN,1921-12-01,24
CHN,1922-01-01,28
CHN,1922-02-01,19
CHN,1922-03-01,20
CHN,1922-04-01,23
CHN,1922-05-01,34
CHN,1922-06-01,23
CHN,1922-07-01,17
CHN,1922-08-01,11
CHN,1922-09-01,9
CHN,1922-10-01,2
CHN,1922-11-01,7
CHN,1922-12-01,8
CHN,1923-01-01,6
CHN,1923-02-01,5
CHN,1923-03-01,7
CHN,1923-04-01,6
CHN,1923-05-01,51
CHN,1923-06-01,10
CHN,1923-07-01,4
CHN,1923-08-01,7
CHN,1923-09-01,10
CHN,1923-10-01,5
CHN,1923-11-01,4
CHN,1923-12-01,6
CHN,1924-01-01,4
CHN,1924-02-01,5
CHN,1924-03-01,3
CHN,1924-04-01,4
CHN,1924-05-01,4
CHN,1924-06-01,3
CHN,1924-07-01,4
CHN,1924-08-01,15
CHN,1924-09-01,67
CHN,1924-10-01,41
CHN,1924-11-01,20
CHN,1924-12-01,6
CHN,1925-01-01,16
CHN,1925-02-01,6
CHN,1925-03-01,13
CHN,1925-04-01,4
CHN,1925-05-01,2
CHN,1925-06-01,24
CHN,1925-07-01,22
CHN,1925-08-01,22
CHN,1925-09-01,19
CHN,1925-10-01,14
CHN,1925-11-01,13
CHN,1925-12-01,10
CHN,1926-01-01,9
CHN,1926-02-01,3
CHN,1926-03-01,22
CHN,1926-04-01,11
CHN,1926-05-01,17
CHN,1926-06-01,9
CHN,1926-07-01,9
CHN,1926-08-01,13
CHN,1926-09-01,34
CHN,1926-10-01,20
CHN,1926-11-01,18
CHN,1926-12-01,15
CHN,1927-01-01,45
CHN,1927-02-01,44
CHN,1927-03-01,65
CHN,1927-04-01,94
CHN,1927-05-01,35
CHN,1927-06-01,29
CHN,1927-07-01,20
CHN,1927-08-01,17
CHN,1927-09-01,9
CHN,1927-10-01,27
CHN,1927-11-01,18
CHN,1927-12-01,27
CHN,1928-01-01,10
CHN,1928-02-01,6
CHN,1928-03-01,16
CHN,1928-04-01,14
CHN,1928-05-01,64
CHN,1928-06-01,20
CHN,1928-07-01,15
CHN,1928-08-01,24
CHN,1928-09-01,10
CHN,1928-10-01,10
CHN,1928-11-01,5
CHN,1928-12-01,3
CHN,1929-01-01,6
CHN,1929-02-01,28
CHN,1929-03-01,31
CHN,1929-04-01,19
CHN,1929-05-01,27
CHN,1929-06-01,10
CHN,1929-07-01,111
CHN,1929-08-01,45
CHN,1929-09-01,37
CHN,1929-10-01,20
CHN,1929-11-01,43
CHN,1929-12-01,56
CHN,1930-01-01,15
CHN,1930-02-01,21
CHN,1930-03-01,24
CHN,1930-04-01,18
CHN,1930-05-01,27
CHN,1930-06-01,51
CHN,1930-07-01,19
CHN,1930-08-01,37
CHN,1930-09-01,31
CHN,1930-10-01,13
CHN,1930-11-01,16
CHN,1930-12-01,15
CHN,1931-01-01,7
CHN,1931-02-01,4
CHN,1931-03-01,7
CHN,1931-04-01,11
CHN,1931-05-01,34
CHN,1931-06-01,22
CHN,1931-07-01,10
CHN,1931-08-01,12
CHN,1931-09-01,51
CHN,1931-10-01,97
CHN,1931-11-01,167
CHN,1931-12-01,79
CHN,1932-01-01,131
CHN,1932-02-01,294
CHN,1932-03-01,140
CHN,1932-04-01,62
CHN,1932-05-01,61
CHN,1932-06-01,22
CHN,1932-07-01,26
CHN,1932-08-01,40
CHN,1932-09-01,30
CHN,1932-10-01,25
CHN,1932-11-01,27
CHN,1932-12-01,32
CHN,1933-01-01,63
CHN,1933-02-01,107
CHN,1933-03-01,82
CHN,1933-04-01,42
CHN,1933-05-01,55
CHN,1933-06-01,22
CHN,1933-07-01,26
CHN,1933-08-01,13
CHN,1933-09-01,23
CHN,1933-10-01,14
CHN,1933-11-01,26
CHN,1933-12-01,31
CHN,1934-01-01,33
CHN,1934-02-01,15
CHN,1934-03-01,9
CHN,1934-04-01,22
CHN,1934-05-01,28
CHN,1934-06-01,7
CHN,1934-07-01,11
CHN,1934-08-01,12
CHN,1934-09-01,16
CHN,1934-10-01,17
CHN,1934-11-01,22
CHN,1934-12-01,24
CHN,1935-01-01,24
CHN,1935-02-01,11
CHN,1935-03-01,14
CHN,1935-04-01,11
CHN,1935-05-01,16
CHN,1935-06-01,54
CHN,1935-07-01,31
CHN,1935-08-01,18
CHN,1935-09-01,28
CHN,1935-10-01,36
CHN,1935-11-01,44
CHN,1935-12-01,65
CHN,1936-01-01,26
CHN,1936-02-01,24
CHN,1936-03-01,23
CHN,1936-04-01,29
CHN,1936-05-01,24
CHN,1936-06-01,88
CHN,1936-07-01,35
CHN,1936-08-01,39
CHN,1936-09-01,30
CHN,1936-10-01,21
CHN,1936-11-01,47
CHN,1936-12-01,70
CHN,1937-01-01,35
CHN,1937-02-01,13
CHN,1937-03-01,22
CHN,1937-04-01,10
CHN,1937-05-01,5
CHN,1937-06-01,6
CHN,1937-07-01,141
CHN,1937-08-01,208
CHN,1937-09-01,230
CHN,1937-10-01,190
CHN,1937-11-01,142
CHN,1937-12-01,161
CHN,1938-01-01,121
CHN,1938-02-01,96
CHN,1938-03-01,70
CHN,1938-04-01,69
CHN,1938-05-01,85
CHN,1938-06-01,77
CHN,1938-07-01,73
CHN,1938-08-01,91
CHN,1938-09-01,75
CHN,1938-10-01,81
CHN,1938-11-01,59
CHN,1938-12-01,47
CHN,1939-01-01,77
CHN,1939-02-01,54
CHN,1939-03-01,56
CHN,1939-04-01,68
CHN,1939-05-01,36
CHN,1939-06-01,140
CHN,1939-07-01,117
CHN,1939-08-01,77
CHN,1939-09-01,75
CHN,1939-10-01,80
CHN,1939-11-01,80
CHN,1939-12-01,76
CHN,1940-01-01,84
CHN,1940-02-01,81
CHN,1940-03-01,33
CHN,1940-04-01,39
CHN,1940-05-01,34
CHN,1940-06-01,67
CHN,1940-07-01,60
CHN,1940-08-01,52
CHN,1940-09-01,108
CHN,1940-10-01,103
CHN,1940-11-01,49
CHN,1940-12-01,59
CHN,1941-01-01,75
CHN,1941-02-01,92
CHN,1941-03-01,72
CHN,1941-04-01,52
CHN,1941-05-01,57
CHN,1941-06-01,60
CHN,1941-07-01,110
CHN,1941-08-01,105
CHN,1941-09-01,49
CHN,1941-10-01,65
CHN,1941-11-01,103
